Year,Month,Day,Data logger,Date,Toul
2009,5,2,Hobo,2009/5/2,14.52616667
2009,5,3,Hobo,2009/5/3,16.41704167
2009,5,4,Hobo,2009/5/4,15.06266667
2009,5,5,Hobo,2009/5/5,15.34175
2009,5,6,Hobo,2009/5/6,17.42783333
2009,5,7,Hobo,2009/5/7,15.68270833
2009,5,8,Hobo,2009/5/8,14.873
2009,5,9,Hobo,2009/5/9,17.814375
2009,5,10,Hobo,2009/5/10,17.74795833
2009,5,11,Hobo,2009/5/11,19.38754167
2009,5,12,Hobo,2009/5/12,19.127875
2009,5,13,Hobo,2009/5/13,18.48125
2009,5,14,Hobo,2009/5/14,14.35858333
2009,5,15,Hobo,2009/5/15,12.52175
2009,5,16,Hobo,2009/5/16,16.179625
2009,5,17,Hobo,2009/5/17,14.94954167
2009,5,18,Hobo,2009/5/18,15.47245833
2009,5,19,Hobo,2009/5/19,16.5855
2009,5,20,Hobo,2009/5/20,20.567875
2009,5,21,Hobo,2009/5/21,18.29429167
2009,5,22,Hobo,2009/5/22,19.85479167
2009,5,23,Hobo,2009/5/23,21.919
2009,5,24,Hobo,2009/5/24,22.34179167
2009,5,25,Hobo,2009/5/25,16.87079167
2009,5,26,Hobo,2009/5/26,14.349
2009,5,27,Hobo,2009/5/27,15.07479167
2009,5,28,Hobo,2009/5/28,17.29879167
2009,5,29,Hobo,2009/5/29,20.79758333
2009,5,30,Hobo,2009/5/30,21.35866667
2009,5,31,Hobo,2009/5/31,20.83795833
2009,6,1,Hobo,2009/6/1,20.381625
2009,6,2,Hobo,2009/6/2,21.247875
2009,6,3,Hobo,2009/6/3,22.17191667
2009,6,4,Hobo,2009/6/4,21.13341667
2009,6,5,Hobo,2009/6/5,17.78908333
2009,6,6,Hobo,2009/6/6,15.76645833
2009,6,7,Hobo,2009/6/7,16.45504167
2009,6,8,Hobo,2009/6/8,18.030125
2009,6,9,Hobo,2009/6/9,16.6285
2009,6,10,Hobo,2009/6/10,19.84679167
2009,6,11,Hobo,2009/6/11,18.635625
2009,6,12,Hobo,2009/6/12,19.99141667
2009,6,13,Hobo,2009/6/13,23.57216667
2009,6,14,Hobo,2009/6/14,21.14325
2009,6,15,Hobo,2009/6/15,19.855
2009,6,16,Hobo,2009/6/16,18.06141667
2009,6,17,Hobo,2009/6/17,23.851125
2009,6,18,Hobo,2009/6/18,23.60004167
2009,6,19,Hobo,2009/6/19,19.76683333
2009,6,20,Hobo,2009/6/20,17.0885
2009,6,21,Hobo,2009/6/21,16.59745833
2009,6,22,Hobo,2009/6/22,18.72191667
2009,6,23,Hobo,2009/6/23,19.89225
2009,6,24,Hobo,2009/6/24,20.01120833
2009,6,25,Hobo,2009/6/25,20.25216667
2009,6,26,Hobo,2009/6/26,19.73379167
2009,6,27,Hobo,2009/6/27,20.40379167
2009,6,28,Hobo,2009/6/28,24.179
2009,6,29,Hobo,2009/6/29,25.87433333
2009,6,30,Hobo,2009/6/30,26.8845
2009,7,1,Hobo,2009/7/1,27.224875
2009,7,2,Hobo,2009/7/2,22.51716667
2009,7,3,Hobo,2009/7/3,23.112375
2009,7,4,Hobo,2009/7/4,22.53041667
2009,7,5,Hobo,2009/7/5,20.949875
2009,7,6,Hobo,2009/7/6,19.0865
2009,7,7,Hobo,2009/7/7,18.45741667
2009,7,8,Hobo,2009/7/8,18.23945833
2009,7,9,Hobo,2009/7/9,17.752375
2009,7,10,Hobo,2009/7/10,18.16829167
2009,7,11,Hobo,2009/7/11,20.62520833
2009,7,12,Hobo,2009/7/12,23.08295833
2009,7,13,Hobo,2009/7/13,24.00416667
2009,7,14,Hobo,2009/7/14,21.09325
2009,7,15,Hobo,2009/7/15,22.23658333
2009,7,16,Hobo,2009/7/16,24.56704167
2009,7,17,Hobo,2009/7/17,16.970625
2009,7,18,Hobo,2009/7/18,17.57108333
2009,7,19,Hobo,2009/7/19,20.24745833
2009,7,20,Hobo,2009/7/20,22.20275
2009,7,21,Hobo,2009/7/21,26.65916667
2009,7,22,Hobo,2009/7/22,23.08679167
2009,7,23,Hobo,2009/7/23,21.35979167
2009,7,24,Hobo,2009/7/24,20.39225
2009,7,25,Hobo,2009/7/25,19.90366667
2009,7,26,Hobo,2009/7/26,21.20491667
2009,7,27,Hobo,2009/7/27,20.142875
2009,7,28,Hobo,2009/7/28,20.24366667
2009,7,29,Hobo,2009/7/29,21.36204167
2009,7,30,Hobo,2009/7/30,20.184125
2009,7,31,Hobo,2009/7/31,20.67445833
2009,8,1,Hobo,2009/8/1,19.59745833
2009,8,2,Hobo,2009/8/2,18.76045833
2009,8,3,Hobo,2009/8/3,19.43175
2009,8,4,Hobo,2009/8/4,20.937125
2009,8,5,Hobo,2009/8/5,24.00416667
2009,8,6,Hobo,2009/8/6,23.51858333
2009,8,7,Hobo,2009/8/7,21.47016667
2009,8,8,Hobo,2009/8/8,21.8445
2009,8,9,Hobo,2009/8/9,19.57554167
2009,8,10,Hobo,2009/8/10,20.20816667
2009,8,11,Hobo,2009/8/11,20.37579167
2009,8,12,Hobo,2009/8/12,21.96970833
2009,8,13,Hobo,2009/8/13,22.91141667
2009,8,14,Hobo,2009/8/14,22.72995833
2009,8,15,Hobo,2009/8/15,24.616625
2009,8,16,Hobo,2009/8/16,25.09320833
2009,8,17,Hobo,2009/8/17,21.90154167
2009,8,18,Hobo,2009/8/18,23.06458333
2009,8,19,Hobo,2009/8/19,25.68133333
2009,8,20,Hobo,2009/8/20,22.59608333
2009,8,21,Hobo,2009/8/21,20.09583333
2009,8,22,Hobo,2009/8/22,19.64995833
2009,8,23,Hobo,2009/8/23,21.636125
2009,8,24,Hobo,2009/8/24,21.827875
2009,8,25,Hobo,2009/8/25,18.38625
2009,8,26,Hobo,2009/8/26,20.28608333
2009,8,27,Hobo,2009/8/27,22.66825
2009,8,28,Hobo,2009/8/28,20.09383333
2009,8,29,Hobo,2009/8/29,16.0525
2009,8,30,Hobo,2009/8/30,16.895125
2009,8,31,Hobo,2009/8/31,21.813375
2009,9,1,Hobo,2009/9/1,19.60379167
2009,9,2,Hobo,2009/9/2,19.16241667
2009,9,3,Hobo,2009/9/3,19.78833333
2009,9,4,Hobo,2009/9/4,17.39325
2009,9,5,Hobo,2009/9/5,14.22704167
2009,9,6,Hobo,2009/9/6,15.82379167
2009,9,7,Hobo,2009/9/7,18.59683333
2009,9,8,Hobo,2009/9/8,21.76016667
2009,9,9,Hobo,2009/9/9,20.58941667
2009,9,10,Hobo,2009/9/10,22.015875
2009,9,11,Hobo,2009/9/11,20.57616667
2009,9,12,Hobo,2009/9/12,19.14641667
2009,9,13,Hobo,2009/9/13,19.62220833
2009,9,14,Hobo,2009/9/14,17.24954167
2009,9,15,Hobo,2009/9/15,14.220875
2009,9,16,Hobo,2009/9/16,13.72491667
2009,9,17,Hobo,2009/9/17,14.69933333
2009,9,18,Hobo,2009/9/18,16.78270833
2009,9,19,Hobo,2009/9/19,15.51775
2009,9,20,Hobo,2009/9/20,16.79204167
2009,9,21,Hobo,2009/9/21,17.143625
2009,9,22,Hobo,2009/9/22,16.87491667
2009,9,23,Hobo,2009/9/23,17.41966667
2009,9,24,Hobo,2009/9/24,17.81133333
2009,9,25,Hobo,2009/9/25,16.921125
2009,9,26,Hobo,2009/9/26,15.15804167
2009,9,27,Hobo,2009/9/27,16.067375
2009,9,28,Hobo,2009/9/28,16.74541667
2009,9,29,Hobo,2009/9/29,16.7175
2009,9,30,Hobo,2009/9/30,16.23154167
2009,10,1,Hobo,2009/10/1,17.6435
2009,10,2,Hobo,2009/10/2,14.65070833
2009,10,3,Hobo,2009/10/3,12.71266667
2009,10,4,Hobo,2009/10/4,14.86858333
2009,10,5,Hobo,2009/10/5,20.77875
2009,10,6,Hobo,2009/10/6,22.02383333
2009,10,7,Hobo,2009/10/7,20.528875
2009,10,8,Hobo,2009/10/8,18.08416667
2009,10,9,Hobo,2009/10/9,17.750875
2009,10,10,Hobo,2009/10/10,17.73783333
2009,10,11,Hobo,2009/10/11,17.84333333
2009,10,12,Hobo,2009/10/12,16.52104167
2009,10,13,Hobo,2009/10/13,11.97479167
2009,10,14,Hobo,2009/10/14,11.9005
2009,10,15,Hobo,2009/10/15,7.112333333
2009,10,16,Hobo,2009/10/16,5.627583333
2009,10,17,Hobo,2009/10/17,6.941916667
2009,10,18,Hobo,2009/10/18,5.243916667
2009,10,19,Hobo,2009/10/19,7.919625
2009,10,20,Hobo,2009/10/20,14.99758333
2009,10,21,Hobo,2009/10/21,11.68775
2009,10,22,Hobo,2009/10/22,10.81133333
2009,10,23,Hobo,2009/10/23,13.00558333
2009,10,24,Hobo,2009/10/24,18.04670833
2009,10,25,Hobo,2009/10/25,15.505
2009,10,26,Hobo,2009/10/26,11.51391667
2009,10,27,Hobo,2009/10/27,11.95233333
2009,10,28,Hobo,2009/10/28,12.251875
2009,10,29,Hobo,2009/10/29,13.556
2009,10,30,Hobo,2009/10/30,12.98875
2009,10,31,Hobo,2009/10/31,16.231875
2009,11,1,Hobo,2009/11/1,15.865875
2009,11,2,Hobo,2009/11/2,12.461125
2009,11,3,Hobo,2009/11/3,15.21533333
2009,11,4,Hobo,2009/11/4,11.50895833
2009,11,5,Hobo,2009/11/5,9.374666667
2009,11,6,Hobo,2009/11/6,10.47079167
2009,11,7,Hobo,2009/11/7,10.12725
2009,11,8,Hobo,2009/11/8,9.173958333
2009,11,9,Hobo,2009/11/9,6.871875
2009,11,10,Hobo,2009/11/10,4.77575
2009,11,11,Hobo,2009/11/11,10.54525
2009,11,12,Hobo,2009/11/12,13.407
2009,11,13,Hobo,2009/11/13,14.04458333
2009,11,14,Hobo,2009/11/14,13.04616667
2009,11,15,Hobo,2009/11/15,12.46795833
2009,11,16,Hobo,2009/11/16,14.23608333
2009,11,17,Hobo,2009/11/17,11.21029167
2009,11,18,Hobo,2009/11/18,8.604416667
2009,11,19,Hobo,2009/11/19,11.7775
2009,11,20,Hobo,2009/11/20,13.94745833
2009,11,21,Hobo,2009/11/21,14.46566667
2009,11,22,Hobo,2009/11/22,12.8615
2009,11,23,Hobo,2009/11/23,13.68079167
2009,11,24,Hobo,2009/11/24,12.74504167
2009,11,25,Hobo,2009/11/25,10.79708333
2009,11,26,Hobo,2009/11/26,10.12754167
2009,11,27,Hobo,2009/11/27,9.708333333
2009,11,28,Hobo,2009/11/28,10.406
2009,11,29,Hobo,2009/11/29,8.261791667
2009,11,30,Hobo,2009/11/30,6.537791667
2009,12,1,Hobo,2009/12/1,7.149958333
2009,12,2,Hobo,2009/12/2,10.98266667
2009,12,3,Hobo,2009/12/3,10.62479167
2009,12,4,Hobo,2009/12/4,8.691375
2009,12,5,Hobo,2009/12/5,11.96241667
2009,12,6,Hobo,2009/12/6,12.16941667
2009,12,7,Hobo,2009/12/7,12.13633333
2009,12,8,Hobo,2009/12/8,10.94791667
2009,12,9,Hobo,2009/12/9,11.20129167
2009,12,10,Hobo,2009/12/10,8.977916667
2009,12,11,Hobo,2009/12/11,6.651291667
2009,12,12,Hobo,2009/12/12,3.66575
2009,12,13,Hobo,2009/12/13,3.486625
2009,12,14,Hobo,2009/12/14,1.920375
2009,12,15,Hobo,2009/12/15,0.427041667
2009,12,16,Hobo,2009/12/16,-1.532458333
2009,12,17,Hobo,2009/12/17,-1.967458333
2009,12,18,Hobo,2009/12/18,0.751125
2009,12,19,Hobo,2009/12/19,-1.376666667
2009,12,20,Hobo,2009/12/20,1.369583333
2009,12,21,Hobo,2009/12/21,3.634708333
2009,12,22,Hobo,2009/12/22,8.789166667
2009,12,23,Hobo,2009/12/23,4.551916667
2009,12,24,Hobo,2009/12/24,7.989458333
2009,12,25,Hobo,2009/12/25,5.665625
2009,12,26,Hobo,2009/12/26,2.5795
2009,12,27,Hobo,2009/12/27,5.151791667
2009,12,28,Hobo,2009/12/28,9.51625
2009,12,29,Hobo,2009/12/29,10.53475
2009,12,30,Hobo,2009/12/30,12.235
2009,12,31,Hobo,2009/12/31,9.245166667
2010,1,1,Hobo,2010/1/1,5.852708333
2010,1,2,Hobo,2010/1/2,3.1595
2010,1,3,Hobo,2010/1/3,3.419625
2010,1,4,Hobo,2010/1/4,4.279375
2010,1,5,Hobo,2010/1/5,-0.040833333
2010,1,6,Hobo,2010/1/6,-0.276875
2010,1,7,Hobo,2010/1/7,1.165458333
2010,1,8,Hobo,2010/1/8,-1.001125
2010,1,9,Hobo,2010/1/9,-2.670958333
2010,1,10,Hobo,2010/1/10,-1.999625
2010,1,11,Hobo,2010/1/11,-2.644416667
2010,1,12,Hobo,2010/1/12,-0.375625
2010,1,13,Hobo,2010/1/13,7.725083333
2010,1,14,Hobo,2010/1/14,6.927666667
2010,1,15,Hobo,2010/1/15,5.522
2010,1,16,Hobo,2010/1/16,6.317041667
2010,1,17,Hobo,2010/1/17,6.793291667
2010,1,18,Hobo,2010/1/18,3.65925
2010,1,19,Hobo,2010/1/19,5.395125
2010,1,20,Hobo,2010/1/20,8.101583333
2010,1,21,Hobo,2010/1/21,4.59725
2010,1,22,Hobo,2010/1/22,4.447166667
2010,1,23,Hobo,2010/1/23,5.552791667
2010,1,24,Hobo,2010/1/24,6.933791667
2010,1,25,Hobo,2010/1/25,2.908916667
2010,1,26,Hobo,2010/1/26,1.546166667
2010,1,27,Hobo,2010/1/27,0.716833333
2010,1,28,Hobo,2010/1/28,2.805666667
2010,1,29,Hobo,2010/1/29,6.757166667
2010,1,30,Hobo,2010/1/30,3.741375
2010,1,31,Hobo,2010/1/31,-0.958125
2010,2,1,Hobo,2010/2/1,0.733791667
2010,2,2,Hobo,2010/2/2,2.720208333
2010,2,3,Hobo,2010/2/3,3.091333333
2010,2,4,Hobo,2010/2/4,6.392541667
2010,2,5,Hobo,2010/2/5,8.26775
2010,2,6,Hobo,2010/2/6,9.848
2010,2,7,Hobo,2010/2/7,6.675041667
2010,2,8,Hobo,2010/2/8,4.295333333
2010,2,9,Hobo,2010/2/9,2.325958333
2010,2,10,Hobo,2010/2/10,1.014
2010,2,11,Hobo,2010/2/11,-1.40925
2010,2,12,Hobo,2010/2/12,0.097916667
2010,2,13,Hobo,2010/2/13,-0.195583333
2010,2,14,Hobo,2010/2/14,-0.447
2010,2,15,Hobo,2010/2/15,-0.594208333
2010,2,16,Hobo,2010/2/16,1.710416667
2010,2,17,Hobo,2010/2/17,6.873083333
2010,2,18,Hobo,2010/2/18,8.330666667
2010,2,19,Hobo,2010/2/19,5.719333333
2010,2,20,Hobo,2010/2/20,5.801875
2010,2,21,Hobo,2010/2/21,5.942958333
2010,2,22,Hobo,2010/2/22,8.660625
2010,2,23,Hobo,2010/2/23,10.803
2010,2,24,Hobo,2010/2/24,11.663
2010,2,25,Hobo,2010/2/25,13.25808333
2010,2,26,Hobo,2010/2/26,9.363916667
2010,2,27,Hobo,2010/2/27,9.453375
2010,2,28,Hobo,2010/2/28,10.45179167
2010,3,1,Hobo,2010/3/1,7.985791667
2010,3,2,Hobo,2010/3/2,8.898375
2010,3,3,Hobo,2010/3/3,9.154791667
2010,3,4,Hobo,2010/3/4,8.831666667
2010,3,5,Hobo,2010/3/5,6.739625
2010,3,6,Hobo,2010/3/6,5.677916667
2010,3,7,Hobo,2010/3/7,3.019375
2010,3,8,Hobo,2010/3/8,0.135083333
2010,3,9,Hobo,2010/3/9,2.041333333
2010,3,10,Hobo,2010/3/10,0.300125
2010,3,11,Hobo,2010/3/11,0.727791667
2010,3,12,Hobo,2010/3/12,4.761833333
2010,3,13,Hobo,2010/3/13,4.184083333
2010,3,14,Hobo,2010/3/14,3.40625
