Dispositif,Year,SiteName,Valley,Prove,BlockCG,ID,Mother,LU,LC,GS,Elevation
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q32-6 B4,O12fam32,101.75,319.4444444,217.6944444,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q32-8 B4,O12fam32,105.625,295.3333333,189.7083333,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q32-9 B4,O12fam32,101.7037037,286.2727273,184.5690236,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q32-10 B4,O12fam32,106.8181818,295.5,188.6818182,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q32-11 B4,O12fam32,107.0833333,281.3333333,174.25,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q32-12 B4,O12fam32,108.4090909,265.7142857,157.3051948,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q10-5 B3,O12fam10,105,275,170,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q10-6 B3,O12fam10,101.5416667,302.0833333,200.5416667,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q10-8 B3,O12fam10,107.5,289.0985915,181.5985915,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q10-2 B4,O12fam10,106.8181818,266.75,159.9318182,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q10-5 B4,O12fam10,108.0555556,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q10-6 B4,O12fam10,114.5,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q10-7 B4,O12fam10,108.8135593,NA,NA,1200
Toulenne,2014,Josbaig,Ossau,O1,4_Toulenne,O1Q4-3 B4,O1fam4,107.0833333,282,174.9166667,100
Toulenne,2014,Le_Hourcq,Ossau,O8,4_Toulenne,O8Q3-5 B4,O8fam3,108.1578947,NA,NA,800
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q6-3 B3,O12fam6,107.9411765,268.1428571,160.2016807,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q6-5 B3,O12fam6,109.1139241,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q6-6 B3,O12fam6,108.2051282,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q6-7 B3,O12fam6,108.3333333,278.4615385,170.1282051,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q6-9 B3,O12fam6,102.7407407,271.4615385,168.7207977,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q6-1 B4,O12fam6,106.1111111,290.8205128,184.7094017,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q6-2 B4,O12fam6,108.2051282,275,166.7948718,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q6-5 B4,O12fam6,107.9411765,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q6-7 B4,O12fam6,101.75,285.4615385,183.7115385,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q6-8 B4,O12fam6,102.4716981,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q25-7 B3,O12fam25,108.0555556,NA,NA,1200
Toulenne,2014,Gedre_bas,Luz,L12,4_Toulenne,L12Q32-3 B4,L12fam32,112.625,278.4615385,165.8365385,1200
Toulenne,2014,Gedre_bas,Luz,L12,4_Toulenne,L12Q32-2 B4,L12fam32,108.7037037,274,165.2962963,1200
Toulenne,2014,Papillon,Luz,L8,4_Toulenne,L8Q4-1 B4,L8fam4,108.1578947,334,225.8421053,800
Toulenne,2014,Papillon,Luz,L8,4_Toulenne,L8Q4-6 B3,L8fam4,108.4090909,294.75,186.3409091,800
Toulenne,2014,Papillon,Luz,L8,4_Toulenne,L8Q4-5 B3,L8fam4,106.8181818,319.4444444,212.6262626,800
Toulenne,2014,Josbaig,Ossau,O1,4_Toulenne,O1Q5-7 B4,O1fam5,101.5416667,NA,NA,100
Toulenne,2014,Josbaig,Ossau,O1,4_Toulenne,O1Q5-4 B4,O1fam5,101.7931034,268.5714286,166.7783251,100
Toulenne,2014,Josbaig,Ossau,O1,4_Toulenne,O1Q5-3 B4,O1fam5,100.8125,NA,NA,100
Toulenne,2014,Josbaig,Ossau,O1,4_Toulenne,O1Q5-2 B4,O1fam5,101.1578947,NA,NA,100
